Survived,Age,SibSp,Parch,Fare,FamilySize,Singleton,SmallFamily,LargeFamily,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty
1,-1.0754323810643989,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,-0.5609748304808925,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1,-0.1214574162614921,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,-0.5609748304808925,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,-1.589111208265964,2.2474704895351842,0.7676298785983874,-0.22408312108167944,1.9195639980971482,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,0.6123694797407438,0.4327933656785018,5.73284383018578,-0.016444159470040135,3.1598334123861687,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,0.008971035775377886,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,-0.7819016226635045,2.2474704895351842,2.0089333664952354,4.647001076532463,2.5396987052416584,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1,-0.5562918568757255,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,-0.5609748304808925,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,-0.13081019997533558,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.759134858941191,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1,0.49668656176529846,0.4327933656785018,-0.4736736092984604,2.301728820789,0.059159876663617626,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0.4329930349338882,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,2.667084788547004,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,-0.1214574162614921,0.4327933656785018,-0.4736736092984604,1.0060617003323709,0.059159876663617626,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
0,0.9059002381416382,0.4327933656785018,-0.4736736092984604,0.39858208016340624,0.059159876663617626,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1,-0.5006073020074966,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,-0.6351362434630573,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.855284312263728,1.340131927606843,-0.4736736092984604,-0.2859972841804228,0.6792945838081278,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,-1.1488150706646223,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0.059159876663617626,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0.759134858941191,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,-0.1948401058617157,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,-0.13081019997533558,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,-1.956024656267082,0.4327933656785018,2.0089333664952354,0.18876253192945994,1.299429290952638,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,-0.7819016226635045,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,-0.5609748304808925,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,0.08407392357151794,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.2613538672794458,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,0.059159876663617626,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,0.4329930349338882,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,-0.4969703982001363,1.340131927606843,-0.4736736092984604,-0.21191774308354583,0.6792945838081278,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,-0.855284312263728,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,-1.6624938978661876,3.1548090514635256,0.7676298785983874,0.1506737441786005,2.5396987052416584,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
0,-0.6351362434630573,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1.4195790653432034,0.4327933656785018,-0.4736736092984604,0.8964967865378598,0.059159876663617626,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,-0.04807472666126852,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,2.5937020989467805,-0.47454519624983954,0.7676298785983874,0.5995101505357573,0.059159876663617626,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1,1.144626503460006,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,-0.5609748304808925,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1,-0.6351362434630573,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,-0.08476607146138031,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,-1.8092592770666347,0.4327933656785018,2.0089333664952354,-0.08968408411123653,1.299429290952638,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,-1.3689631394652932,4.0621476133918675,2.0089333664952354,0.2958951755118318,3.779968119530679,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
0,-0.5617535538628337,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0.6123694797407438,-0.47454519624983954,-0.4736736092984604,0.962353321387736,-0.5609748304808925,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
0,1.126048306942309,0.4327933656785018,-0.4736736092984604,1.0323213593611125,0.059159876663617626,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,-1.8826419666668583,2.2474704895351842,2.0089333664952354,-0.08666388103324908,2.5396987052416584,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
0,0.8108399525921289,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1,-0.8807970273480723,0.4327933656785018,0.7676298785983874,-0.3414522396297103,0.6792945838081278,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
1,-0.04807472666126852,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,-0.7819016226635045,-0.47454519624983954,-0.4736736092984604,-0.4841568350646187,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,-0.9286670018639517,3.1548090514635256,2.0089333664952354,-0.4888542575852486,3.1598334123861687,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,-0.2682227954619393,1.340131927606843,-0.4736736092984604,-0.47400492578514347,0.6792945838081278,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.17207334213940226,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,-1.0020496914641752,4.0621476133918675,2.0089333664952354,0.2958951755118318,3.779968119530679,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,-0.6351362434630573,-0.47454519624983954,-0.4736736092984604,0.8314778546749452,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,-0.2682227954619393,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,0.059159876663617626,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0.17207334213940226,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.3416054850621629,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,-0.5609748304808925,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.13081019997533558,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.08407392357151794,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,-2.115265092699567,-0.47454519624983954,2.0089333664952354,-0.06451572512800753,0.6792945838081278,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0.025307962938955077,-0.47454519624983954,-0.4736736092984604,-0.397241430886295,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,-0.5617535538628337,-0.47454519624983954,-0.4736736092984604,-0.46720946885967163,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,-0.04807472666126852,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,-0.45899725568694305,-0.47454519624983954,-0.4736736092984604,-0.49162277707340374,-0.5609748304808925,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,-0.1214574162614921,-0.47454519624983954,-0.4736736092984604,0.29992211294914856,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1,-0.9286670018639517,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1,0.24545603173962585,2.2474704895351842,-0.4736736092984604,-0.32928686163157667,1.299429290952638,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,-1.0020496914641752,0.4327933656785018,3.250236854392083,0.04370821849987721,1.9195639980971482,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.08407392357151794,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,-0.48837086426261006,2.2474704895351842,2.0089333664952354,4.647001076532463,2.5396987052416584,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
0,-0.41498817466238647,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.04807472666126852,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.7085189330632808,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1.1994309965425325,0.4327933656785018,-0.4736736092984604,0.5833178351003071,0.059159876663617626,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,-0.2682227954619393,0.4327933656785018,2.0089333664952354,-0.23415046467497105,1.299429290952638,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,2.153405961345439,-0.47454519624983954,-0.4736736092984604,-0.5024451714361923,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.08407392357151794,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3.033998236548122,-0.47454519624983954,-0.4736736092984604,0.0493298231623713,-0.5609748304808925,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1,-0.48837086426261006,-0.47454519624983954,0.7676298785983874,0.6272778976347743,0.059159876663617626,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1,0.3188387213398495,-0.47454519624983954,0.7676298785983874,-0.18532384824750675,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,0.3188387213398495,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0.059159876663617626,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,-0.1214574162614921,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,-0.13081019997533558,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.6351362434630573,-0.47454519624983954,0.7676298785983874,0.907737982394129,0.059159876663617626,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,0.24545603173962585,-0.47454519624983954,-0.4736736092984604,-0.4741720436887921,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.5389867901405202,1.340131927606843,-0.4736736092984604,-0.4888542575852486,0.6792945838081278,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.1214574162614921,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,-0.6351362434630573,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,-0.14871447514033592,-0.47454519624983954,-0.4736736092984604,-0.4918744606632361,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.6123694797407438,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0.2569281922137938,0.4327933656785018,-0.4736736092984604,-0.1621689579829361,0.059159876663617626,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,1.2728136861427561,-0.47454519624983954,-0.4736736092984604,0.39858208016340624,-0.5609748304808925,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,-1.1121237258645107,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,0.059159876663617626,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,-0.5617535538628337,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.7085189330632808,0.4327933656785018,-0.4736736092984604,-0.4505983519307405,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,-0.9286670018639517,-0.47454519624983954,-0.4736736092984604,-0.3573083057891445,-0.5609748304808925,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,-0.6351362434630573,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,2.99730689174801,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,-0.04807472666126852,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0.059159876663617626,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,-0.41498817466238647,-0.47454519624983954,0.7676298785983874,4.335332226633905,0.059159876663617626,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
0,-2.0294073458673054,3.1548090514635256,2.0089333664952354,-0.01870931177853076,3.1598334123861687,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,-0.6351362434630573,1.340131927606843,-0.4736736092984604,0.8314778546749452,0.6792945838081278,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0.08407392357151794,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.20876468693951405,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0.059159876663617626,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0.20876468693951405,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,1.7864925133443212,-0.47454519624983954,0.7676298785983874,0.907737982394129,0.059159876663617626,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1,-1.2955804498650696,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0.059159876663617626,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
0,0.4329930349338882,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,-0.41498817466238647,-0.47454519624983954,-0.4736736092984604,-0.5046257580584992,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,-0.2620586495355208,0.4327933656785018,0.7676298785983874,-0.19824427701513722,0.6792945838081278,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,1.126048306942309,-0.47454519624983954,-0.4736736092984604,-0.5079822104125026,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.24545603173962585,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,-0.7085189330632808,-0.47454519624983954,-0.4736736092984604,-0.5064721088735089,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1.2728136861427561,0.4327933656785018,-0.4736736092984604,-0.35646868933346404,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,-0.04807472666126852,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,-0.3416054850621629,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,-0.48837086426261006,-0.47454519624983954,-0.4736736092984604,-0.3454791770670269,-0.5609748304808925,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,-0.7819016226635045,-0.47454519624983954,2.0089333664952354,-0.11921562980779811,0.6792945838081278,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
0,0.5389867901405202,0.4327933656785018,-0.4736736092984604,0.4207302360686478,0.059159876663617626,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,-1.0020496914641752,-0.47454519624983954,-0.4736736092984604,-0.4628462821463391,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.41498817466238647,-0.47454519624983954,-0.4736736092984604,0.9462455716384695,-0.5609748304808925,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
0,-0.3420090898549642,-0.47454519624983954,2.0089333664952354,-0.3414522396297103,0.6792945838081278,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,-0.5617535538628337,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,-0.41498817466238647,0.4327933656785018,-0.4736736092984604,-0.32928686163157667,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,-0.7819016226635045,-0.47454519624983954,-0.4736736092984604,-0.5125125150294839,-0.5609748304808925,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,-0.855284312263728,-0.47454519624983954,-0.4736736092984604,-0.41687275089321363,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,-0.7819016226635045,0.4327933656785018,0.7676298785983874,0.09152810056801232,0.6792945838081278,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
1,-0.1948401058617157,-0.47454519624983954,-0.4736736092984604,-0.49145565916975514,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-1.5157285186657403,1.340131927606843,2.0089333664952354,0.04370821849987721,1.9195639980971482,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,0.5022954453404084,-0.47454519624983954,2.0089333664952354,-0.12491978668775715,0.6792945838081278,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0.9059002381416382,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,1.5663444445436505,-0.47454519624983954,-0.4736736092984604,-0.39623469652696586,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,-0.5617535538628337,0.4327933656785018,-0.4736736092984604,0.6925485130875209,0.059159876663617626,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
0,1.8965665477446567,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.7958262037413028,-0.47454519624983954,2.0089333664952354,-0.35646868933346404,0.6792945838081278,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.005730370763946014,-0.47454519624983954,-0.4736736092984604,-0.5011867534870308,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
